month,Route,Route Name,Passengers,Total Miles,Total Hours,P/Mi,%DIFF FROM prior (P/Mi),P/Hrs,%DIFF FROM prior (P/Hrs)
dec2024,21E,Lark & Alight Express,9180,3094.55,229.84,2.97,3.52%,39.94,1.78%
dec2024,24E,Redpoint Express,3187,2103.65,116.81,1.51,11.70%,27.28,9.86%
dec2024,35E,Lindberg Express,11626,3611.47,295.32,3.22,3.00%,39.37,0.52%
dec2024,,,,8809.67,641.97,2.72,3.82%,37.37,1.99%
dec2024,DR,Microtransit,112,753,129,0.15,N/A,0.87,N/A
dec2024,DR,Paratransit,2730,12833,968,0.21,N/A,2.82,N/A
dec2024,Demand Response Total:,,28421358610970.21,,,,27.73%,2.59,35.26%
dec2024,VP,Vanpool,,,,,,,
dec2024,Vanpool Total:,,,,,,,,
dec2024,,,,,,,,,
dec2024,,Grand Total:,2.3089813385710454e+17,,,,-4.02%,22.09,-2.07%
