route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
8,8412ba33-64c1-4466-b8ba-7a5056f942ea,760eec61-99f0-4547-b183-2d22794dac36,ed975a1b-9d65-44e7-b9a1-fd5ab53a748b,to WL Walmart,1,3abd4565-8a6f-47d1-986c-29d0c65b7757
1B,8412ba33-64c1-4466-b8ba-7a5056f942ea,79000792-4434-4346-9a31-820c34facbf7,fa1bfc2a-4aa5-4966-81d1-33a2a1ea14c6,to WL Walmart and Meijer,0,b452154a-e998-4d79-85c7-f902caee7f75
7,b2de3b5a-bea7-481a-98a5-c62b1807beca,e3b4fc31-0e10-42a4-93e4-801f9b348f7e,62c1143c-029a-4b43-9f4f-6d6f9c55bc76,to Walmart & Meijer,1,fed23068-e31d-49d8-87bf-41f597e7bcf4
23,8412ba33-64c1-4466-b8ba-7a5056f942ea,1b674d7b-58b9-406f-b732-d48c9756afc2,007b678c-d15d-4e6a-8928-cab840ddf344,to Wabash Landing & Purdue Campus,1,9591f093-f36a-47b9-83a5-f032b160744b
21E,b2de3b5a-bea7-481a-98a5-c62b1807beca,9d67fd25-bfcd-4bcd-b16c-dd4d9eb0afdd,42719558-c2a4-467d-8614-840defe90744,Express to Purdue Campus,1,ee61d9b8-bff8-4525-9e1f-3d6bb9814792
4A,87901baf-0994-499f-9975-63bb8fb0199c,cdb7c304-003d-4b34-8d7c-b1ea7c6a72c3,106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,to Tippecanoe Mall,0,70bb6d29-b930-44cd-99fe-0ea9152aba91
7,9b84fbdb-8987-48b3-b034-b765a4d36474,885087ae-1e1d-45a1-b488-65715072fcb1,62c1143c-029a-4b43-9f4f-6d6f9c55bc76,to Walmart & Meijer,1,c2aa8280-276a-43d2-a350-70db305a80ba
23,b2de3b5a-bea7-481a-98a5-c62b1807beca,3d056189-b9b1-4dc4-bf5c-e88d9593e995,a793c083-222b-4293-9d4e-f7454bbd6855,to Lafayette and Riverwalk Apts and TCCC,0,6e9621c8-ec81-4dcb-8cdb-76da0ca2dbc8
2A,8412ba33-64c1-4466-b8ba-7a5056f942ea,8d299cc1-ae4f-45a6-980e-c08ce2318e46,ae80f7da-68bb-4e11-82d9-4e434fd30733,to Schuyler Ave,1,899fa948-832e-4166-ab46-27691685781c
4A,9b84fbdb-8987-48b3-b034-b765a4d36474,ce352696-364e-4793-8a87-b1fe382c3935,106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,to Tippecanoe Mall,0,3e2b3dc4-ab91-451e-a418-7de785faa3fe
1A,8412ba33-64c1-4466-b8ba-7a5056f942ea,a06c33c5-3b5e-473e-8e55-083b55cbe7cd,f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,to CityBus Center,1,d5c70b05-45de-4495-a12f-6245084e77a7
21E,b2de3b5a-bea7-481a-98a5-c62b1807beca,245283a7-99dd-4aaf-a66e-7698b77779c0,42719558-c2a4-467d-8614-840defe90744,Express to Purdue Campus,1,4a20555b-2fba-499c-935e-718ff58fcb94
3,b2de3b5a-bea7-481a-98a5-c62b1807beca,6afd29a2-624a-400c-9e25-8ec8e6554f83,75965b70-7ad7-4945-be19-cfb16a1b3fa6,to CityBus Center,1,2fe9b1d5-8164-4942-877c-5238ce7a7971
